id,type,agency,program_type,name,address1,address2,address3,city,state,zip,lat,lon,geo_accuracy,contact_first_name,contact_last_name,date_first_record,date_recent_record,notes,phone,fax,url,email,created_at,updated_at
35,ICE or Shared Facility,,IGSA,BOSQUE COUNTY SHERIFF'S DEPT.,,,,,,,,,,,,2016-05-05,2016-05-05,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:49.945300+00:00
36,ICE or Shared Facility,ICE,HOLD,BOSTON HOLD ROOM,,,,,,,,,,,,2016-05-26,2018-04-19,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:50.116300+00:00
37,ICE or Shared Facility,,STAGING,BROADVIEW SERVICE STAGING,,,,,,,,,,,,2016-01-02,2016-01-03,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:50.297300+00:00
38,ICE or Shared Facility,ICE,HOLD,BUFFALO HOLD ROOM,,,,,,,,,,,,2016-01-05,2018-03-19,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:50.466200+00:00
39,ICE or Shared Facility,,JUVENILE,CARVER COUNTY JUVENILE DETENTION CENTER,,,,,,,,,,,,2017-10-25,2017-10-26,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:50.637400+00:00
41,ICE or Shared Facility,,USMS IGA,CHARLESTON COUNTY DETENTION CENTER,,,,,,,,,,,,2016-01-02,2017-07-13,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:50.806800+00:00
42,ICE or Shared Facility,ICE,HOLD,CHARLOTTE HOLD ROOM,,,,,,,,,,,,2016-01-02,2018-04-04,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:50.989100+00:00
45,ICE or Shared Facility,,IGSA,COBB COUNTY JAIL,,,,,,,,,,,,2018-03-10,2018-03-13,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:51.162200+00:00
46,ICE or Shared Facility,ICE,HOLD,"COLUMBIA, SC HOLDROOM",,,,,,,,,,,,2016-01-02,2016-01-02,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:51.345800+00:00
47,ICE or Shared Facility,,Other,COMFORT SUITES HOTEL,,,,,,,,,,,,2015-03-08,2018-04-28,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:51.517300+00:00
48,ICE or Shared Facility,,JUVENILE,COWLITZ COUNTY JUVENILE,,,,,,,,,,,,2017-09-02,2018-04-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:51.687600+00:00
52,ICE or Shared Facility,,USMS IGA,CUMBERLAND COUNTY JAIL,,,,,,,,,,,,2017-09-21,2017-09-22,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:51.863000+00:00
53,ICE or Shared Facility,ICE,HOLD,DALLAS FIELD OFFICE HOLD ROOM,,,,,,,,,,,,2016-01-02,2016-01-07,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:52.040800+00:00
55,ICE or Shared Facility,ICE,HOLD,DEL RIO HOLD ROOM,,,,,,,,,,,,2016-06-14,2017-12-08,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:52.211900+00:00
56,ICE or Shared Facility,,USMS IGA,EAST HIDALGO DETENTION CENTER,,,,,,,,,,,,2017-12-12,2017-12-14,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:52.393900+00:00
57,ICE or Shared Facility,,IGSA,EDDY COUNTY JAIL,,,,,,,,,,,,2016-05-28,2017-11-29,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:52.577200+00:00
58,ICE or Shared Facility,ICE,HOLD,EL PASO BOEING DR HOLDROOM,,,,,,,,,,,,2014-07-19,2017-10-19,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:52.757200+00:00
59,ICE or Shared Facility,ICE,HOLD,EL PASO HOLD ROOM,,,,,,,,,,,,2015-09-07,2018-04-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:52.927400+00:00
60,ICE or Shared Facility,,SPC,EL PASO SERVICE PROCESSING CENTER,,,,,,,,,,,,2015-09-10,2015-09-10,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:53.101400+00:00
62,ICE or Shared Facility,,STAGING,GEORGE BUSH INTERCONTINENTAL,,,,,,,,,,,,2015-03-08,2015-08-29,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:53.285700+00:00
63,ICE or Shared Facility,,JUVENILE,GRAND FORKS COUNTY,,,,,,,,,,,,2017-10-24,2017-10-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:53.456000+00:00
64,ICE or Shared Facility,ICE,HOLD,HARLINGEN HOLD ROOM,,,,,,,,,,,,2014-08-01,2017-12-01,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:53.623800+00:00
65,ICE or Shared Facility,,HOSPITAL,HARLINGEN MEDICAL CENTER,,,,,,,,,,,,2015-04-09,2015-09-21,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:53.796900+00:00
67,ICE or Shared Facility,ICE,HOLD,HARTFORD OFFICE,,,,,,,,,,,,2017-01-17,2017-01-17,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:54.138700+00:00
72,ICE or Shared Facility,,CDF,HOUSTON CONTRACT DETENTION FACILITY,,,,,,,,,,,,2016-01-02,2016-01-02,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:54.332100+00:00
73,ICE or Shared Facility,ICE,HOLD,HOUSTON FIELD OFFICE HOLD ROOM,,,,,,,,,,,,2016-05-14,2018-02-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:54.498900+00:00
74,ICE or Shared Facility,ICE,HOLD,ICE EL PASO HOLD ROOM,,,,,,,,,,,,2017-02-03,2017-09-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:54.669600+00:00
78,ICE or Shared Facility,,DIGSA,IMPERIAL REGIONAL DETENTION FACILITY,,,,,,,,,,,,2017-10-07,2018-03-21,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:54.847300+00:00
79,ICE or Shared Facility,ICE,HOLD,INDIANAPOLIS HOLD ROOM,,,,,,,,,,,,2018-03-23,2018-03-23,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:55.017500+00:00
80,ICE or Shared Facility,ICE,HOLD,INS AIRPORT HOLD,,,,,,,,,,,,2017-03-03,2017-09-20,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:55.191300+00:00
83,ICE or Shared Facility,ICE,HOLD,JACKSON MS HOLD ROOM,,,,,,,,,,,,2017-08-16,2018-01-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:55.384700+00:00
84,ICE or Shared Facility,ICE,HOLD,KANSAS CITY HOLDROOM,,,,,,,,,,,,2016-01-02,2016-01-02,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:55.554600+00:00
85,ICE or Shared Facility,,USMS IGA,KARNES COUNTY CORRECTIONAL CENTER,,,,,,,,,,,,2015-09-26,2017-11-01,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:55.727900+00:00
86,ICE or Shared Facility,ICE,FAMILY,KARNES COUNTY RESIDENTIAL CENTER,,,,,,,,,,,,2014-08-01,2018-04-30,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:55.901600+00:00
88,ICE or Shared Facility,,SPC,KROME NORTH SERVICE PROCESSING CENTER,,,,,,,,,,,,2016-09-23,2016-09-23,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:56.075900+00:00
89,ICE or Shared Facility,ICE,HOLD,KROME/MIAMI HUB,,,,,,,,,,,,2015-01-15,2018-04-17,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:56.253500+00:00
31,ICE or Shared Facility,,Other,BEST WESTERN DRAGON GATE INN,,,,,,,,,,,,2017-05-15,2018-04-19,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:49.772100+00:00
97,ICE or Shared Facility,,JUVENILE,MAINE YOUTH CENTER - LONG CREEK,,,,,,,,,,,,2017-09-28,2018-04-20,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:57.151800+00:00
98,ICE or Shared Facility,ICE,HOLD,MANCHESTER HOLDROOM,,,,,,,,,,,,2017-12-22,2017-12-22,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:57.334400+00:00
99,ICE or Shared Facility,ICE,HOLD,MEMPHIS HOLD ROOM,,,,,,,,,,,,2017-05-09,2018-02-27,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:57.504000+00:00
101,ICE or Shared Facility,ICE,HOLD,MIAMI DISTRICT,,,,,,,,,,,,2017-07-23,2017-07-23,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:57.676200+00:00
102,ICE or Shared Facility,ICE,HOLD-STAGING,MIAMI STAGING FACILITY,,,,,,,,,,,,2015-08-29,2018-03-10,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:57.854100+00:00
103,ICE or Shared Facility,,USMS IGA,MIDLAND COUNTY DETENTION CENTER,,,,,,,,,,,,2017-08-14,2018-04-18,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:58.026500+00:00
106,ICE or Shared Facility,,In Transit,"MVM TRANSPORT, EL PASO",,,,,,,,,,,,2016-03-21,2018-04-29,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:58.199300+00:00
107,ICE or Shared Facility,,In Transit,"MVM TRANSPORT, PHOENIX",,,,,,,,,,,,2016-03-18,2018-04-30,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:58.384300+00:00
108,ICE or Shared Facility,,In Transit,"MVM TRANSPORT, SAN ANTONIO PROPER",,,,,,,,,,,,2015-09-08,2015-09-08,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:58.555600+00:00
109,ICE or Shared Facility,,In Transit,"MVM TRANSPORT, SAN DIEGO",,,,,,,,,,,,2016-03-10,2018-04-29,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:58.728900+00:00
110,ICE or Shared Facility,,In Transit,"MVN TRANSPORTATION, SNA",,,,,,,,,,,,2015-06-21,2018-04-24,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:58.910400+00:00
112,ICE or Shared Facility,,Other,"NEIGHBOR-FAMILY, STONE MOUNTAIN",,,,,,,,,,,,2018-03-21,2018-03-22,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:59.081800+00:00
113,ICE or Shared Facility,ICE,HOLD,NEW ORLEANS DD&P,,,,,,,,,,,,2016-09-13,2018-04-18,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:59.281900+00:00
115,ICE or Shared Facility,,IGSA,NORTHERN OREGON CORRECTIONAL FACILITY,,,,,,,,,,,,2017-12-27,2017-12-28,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:59.636300+00:00
116,ICE or Shared Facility,,JUVENILE,NORTHERN OREGON JUVENILE DETENTION,,,,,,,,,,,,2017-03-15,2018-04-14,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:59.814500+00:00
117,ICE or Shared Facility,,JUVENILE,NORTHERN VIRGINIA JUVENILE DETENTION CENTER,,,,,,,,,,,,2017-08-31,2018-04-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:59.994100+00:00
118,ICE or Shared Facility,,CDF,NORTHWEST DETENTION CENTER,,,,,,,,,,,,2017-08-09,2017-12-28,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:00.165100+00:00
119,ICE or Shared Facility,ICE,HOLD,NYC FIELD OFFICE,,,,,,,,,,,,2017-03-08,2017-12-13,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:00.355500+00:00
120,ICE or Shared Facility,ICE,HOLD,OKLAHOMA CITY HOLD ROOM,,,,,,,,,,,,2017-07-26,2017-07-26,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:00.528800+00:00
121,ICE or Shared Facility,ICE,HOLD,ORLANDO HOLD ROOM,,,,,,,,,,,,2018-01-17,2018-02-08,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:00.696600+00:00
122,ICE or Shared Facility,,"USMS IGA, USMS CDF",OTAY MESA DETENTION CENTER (SAN DIEGO CDF),,,,,,,,,,,,2016-04-01,2017-06-12,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:00.870200+00:00
123,ICE or Shared Facility,,DIGSA,OTERO COUNTY PROCESSING CENTER,,,,,,,,,,,,2017-02-03,2017-02-03,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:01.048800+00:00
125,ICE or Shared Facility,ICE,HOLD,PHILADELPHIA DISTRICT OFFICE HOLD ROOM,,,,,,,,,,,,2017-06-13,2018-04-06,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:01.223800+00:00
126,ICE or Shared Facility,ICE,HOLD,PHOENIX DISTRICT OFFICE,,,,,,,,,,,,2015-01-22,2018-04-30,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:01.403400+00:00
129,ICE or Shared Facility,,SPC,PORT ISABEL,,,,,,,,,,,,2018-02-08,2018-04-12,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:01.747300+00:00
130,ICE or Shared Facility,ICE,HOLD,PORTLAND DISTRICT OFFICE,,,,,,,,,,,,2017-08-09,2018-01-12,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:01.920700+00:00
131,ICE or Shared Facility,,Other,QUALITY SUITES,,,,,,,,,,,,2015-12-17,2018-04-24,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:02.093700+00:00
132,ICE or Shared Facility,ICE,HOLD,RALEIGH HOLD ROOM,,,,,,,,,,,,2017-02-24,2018-04-13,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:02.283600+00:00
133,ICE or Shared Facility,,Other,RED ROOF INN,,,,,,,,,,,,2016-10-03,2018-04-24,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:02.453600+00:00
134,ICE or Shared Facility,,USMS IGA,RIO GRANDE DETENTION CENTER,,,,,,,,,,,,2017-09-26,2018-03-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:02.625900+00:00
135,ICE or Shared Facility,ICE,HOLD,SAINT ALBANS HOLD ROOM,,,,,,,,,,,,2016-07-13,2017-03-03,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:02.797300+00:00
136,ICE or Shared Facility,ICE,HOLD,SALT LAKE CITY  HOLD ROOM,,,,,,,,,,,,2018-04-25,2018-04-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:02.966300+00:00
137,ICE or Shared Facility,ICE,HOLD,SAN ANTONIO DRO HOLD ROOM,,,,,,,,,,,,2015-01-13,2016-08-30,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:03.141200+00:00
138,ICE or Shared Facility,ICE,HOLD-STAGING,SAN DIEGO DISTRICT STAGING,,,,,,,,,,,,2015-12-16,2018-04-29,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:03.327300+00:00
139,ICE or Shared Facility,,USMS IGA,SAN LUIS REGIONAL DETENTION CENTER,,,,,,,,,,,,2016-04-19,2018-04-16,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:03.498100+00:00
140,ICE or Shared Facility,ICE,HOLD,SEATTLE FIELD OFFICE HOLD ROOM,,,,,,,,,,,,2016-06-23,2016-06-23,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:03.668200+00:00
141,ICE or Shared Facility,ICE,HOLD,SFR HOLD ROOM,,,,,,,,,,,,2017-06-28,2017-07-13,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:03.838100+00:00
143,ICE or Shared Facility,,JUVENILE,SNAKE RIVER JUVENILE,,,,,,,,,,,,2017-11-05,2017-11-07,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:04.004900+00:00
144,ICE or Shared Facility,ICE,HOLD,SOUIX FALLS HOLD ROOM,,,,,,,,,,,,2016-05-19,2017-01-04,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:04.176600+00:00
145,ICE or Shared Facility,,IGSA,SOUTH BAY DETENT FACILITY,,,,,,,,,,,,2017-08-25,2017-08-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:04.359200+00:00
147,ICE or Shared Facility,ICE,FAMILY,SOUTH TEXAS FAMILY RESIDENTIAL CENTER,,,,,,,,,,,,2014-12-20,2018-04-30,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:04.705800+00:00
148,ICE or Shared Facility,ICE,CDF,SOUTH TEXAS ICE PROCESSING CENTER,,,,,,,,,,,,2018-01-27,2018-04-20,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:04.887900+00:00
149,ICE or Shared Facility,ICE,HOLD,SOUTH TEXAS/PEARSALL HOLD ROOM,,,,,,,,,,,,2015-05-01,2015-09-08,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:05.057600+00:00
159,ICE or Shared Facility,,DIGSA,STEWART DETENTION CENTER,,,,,,,,,,,,2017-07-13,2017-08-13,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:05.228800+00:00
169,ICE or Shared Facility,ICE,FAMILY,T DON HUTTO RESIDENTIAL CENTER,,,,,,,,,,,,2018-02-09,2018-02-14,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:05.407400+00:00
170,ICE or Shared Facility,,CDF,TACOMA ICE PROCESSING CENTER (NORTHWEST DET CTR),,,,,,,,,,,,2018-01-02,2018-03-23,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:05.587100+00:00
171,ICE or Shared Facility,ICE,HOLD,TALLAHASSEE HOLD ROOM,,,,,,,,,,,,2016-07-29,2016-07-31,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:05.760300+00:00
172,ICE or Shared Facility,,In Transit,TRANSPORT ONLY NO DETENTION-HLG,,,,,,,,,,,,2016-04-05,2017-12-19,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:05.935100+00:00
173,ICE or Shared Facility,ICE,HOLD,"U.S. IMMIGRATION, DETROIT",,,,,,,,,,,,2016-11-16,2017-01-24,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:06.109500+00:00
175,ICE or Shared Facility,ICE,HOLD,US INS/DETENTION & DEPORTATION,,,,,,,,,,,,2016-06-07,2016-06-07,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:06.288300+00:00
176,ICE or Shared Facility,,USMS IGA,VAL VERDE CORRECTIONAL FACILITY,,,,,,,,,,,,2015-04-11,2017-11-23,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:06.458300+00:00
177,ICE or Shared Facility,ICE,HOLD-OTHER,VARICK STREET DETENTION CENTER,,,,,,,,,,,,2015-01-12,2017-07-10,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:06.632800+00:00
178,ICE or Shared Facility,ICE,HOLD,WASHINGTON FIELD OFFICE,,,,,,,,,,,,2016-01-02,2017-09-01,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:06.810400+00:00
179,ICE or Shared Facility,,USMS IGA,WEBB COUNTY DETENTION CENTER (CCA),,,,,,,,,,,,2017-12-18,2017-12-27,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:06.983600+00:00
180,ICE or Shared Facility,,IGSA,WHITFIELD COUNTY JAIL,,,,,,,,,,,,2017-12-18,2017-12-20,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:07.159900+00:00
183,ICE or Shared Facility,,IGSA,YORK COUNTY PRISON,,,,,,,,,,,,2017-10-24,2017-10-24,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:07.510400+00:00
187,ICE or Shared Facility,ICE,HOLD,YUMA HOLDROOM,,,,,,,,,,,,2015-06-12,2017-11-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:07.678700+00:00
189,ICE ERO Field Office,ICE,,New York Field Office,26 Federal Plaza 9th Floor,Suite 9-110,,New York,NY,10278,,,,,,2016-02-26,2016-02-26,,(212) 264-4213,,https://www.ice.gov/contact/ero#wcm-survey-target-id,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:08.030700+00:00
190,ICE ERO Field Office,ICE,,OAK Field Office,,,,,,,,,,,,2017-01-12,2017-03-25,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:08.202400+00:00
94,ICE or Shared Facility,ICE,HOLD,LOS ANGELES CUSTODY CASE,,,,,,,,,,,,2017-05-15,2018-04-19,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:46:56.811500+00:00
193,ORR Affiliated Facility,,Long Term Foster Care,Abbott House LTFC,,,,,,,,,,,,2015-08-02,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:08.726200+00:00
194,ORR Affiliated Facility,,Shelter,Abbott House Shelter,,,,,,,,,,,,2015-08-02,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:08.904300+00:00
195,ORR Affiliated Facility,,Shelter,BCFS Baytown,,,,,,,,,,,,2015-10-07,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:09.082200+00:00
197,ORR Affiliated Facility,,Shelter,BCFS Camp Bravo,,,,,,,,,,,,2015-12-01,2016-01-06,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:09.433800+00:00
198,ORR Affiliated Facility,,Shelter,BCFS Camp Charlie,,,,,,,,,,,,2015-12-07,2016-01-06,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:09.605500+00:00
199,ORR Affiliated Facility,,Shelter,BCFS Camp Delta,,,,,,,,,,,,2015-12-01,2016-01-06,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:09.775000+00:00
200,ORR Affiliated Facility,,Shelter,BCFS Camp Echo,,,,,,,,,,,,2015-12-01,2016-01-06,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:09.954600+00:00
201,ORR Affiliated Facility,,Long Term Foster Care,BCFS Extended Care,,,,,,,,,,,,2015-04-03,2018-05-15,,,,,,2018-07-10 19:44:58.934400+00:00,2018-07-11 06:47:10.134200+00:00
